0 0.000000
1 0.019955
2 0.039909
3 0.059864
4 0.079819
5 0.099773
6 0.119728
7 0.139683
8 0.159637
9 0.179592
10 0.199546
11 0.219501
12 0.239456
13 0.259410
14 0.279365
15 0.299320
16 0.319274
17 0.339229
18 0.359184
19 0.379138
20 0.399093
21 0.419048
22 0.439002
23 0.458957
24 0.478912
25 0.498866
26 0.518821
27 0.538776
28 0.558730
29 0.578685
30 0.598639
31 0.618594
32 0.638549
33 0.658503
34 0.678458
35 0.698413
36 0.718367
37 0.738322
38 0.758277
39 0.778231
40 0.798186
41 0.818141
42 0.838095
43 0.858050
44 0.878005
45 0.897959
46 0.917914
47 0.937868
48 0.957823
49 0.977778
50 0.997732
51 -0.982313
52 -0.962358
53 -0.942404
54 -0.922449
55 -0.902494
56 -0.882540
57 -0.862585
58 -0.842630
59 -0.822676
60 -0.802721
61 -0.782766
62 -0.762812
63 -0.742857
64 -0.722902
65 -0.702948
66 -0.682993
67 -0.663039
68 -0.643084
69 -0.623129
70 -0.603175
71 -0.583220
72 -0.563265
73 -0.543311
74 -0.523356
75 -0.503401
76 -0.483447
77 -0.463492
78 -0.443537
79 -0.423583
80 -0.403628
81 -0.383673
82 -0.363719
83 -0.343764
84 -0.323810
85 -0.303855
86 -0.283900
87 -0.263946
88 -0.243991
89 -0.224036
90 -0.204082
91 -0.184127
92 -0.164172
93 -0.144218
94 -0.124263
95 -0.104308
96 -0.084354
97 -0.064399
98 -0.044444
99 -0.024490
